1000mA,,1500mA,,2000mA,,,1A,,,1000mA,,1500mA,,2000mA,
In,Out,In,Out,In,Out,,1.5A,2min 21s,,In,Out,In,Out,In,Out
41.02,44.34,,,,,,,,,44.65,,,,,
41.13,44.59,,,,,,,,,44.76,,,,,
41.22,44.67,,,,,,,,,44.85,,,,,
41.3,45.15,,,,,,,,,44.93,,,,,
41.37,45.34,,,,,,,,,45,,,,,
41.46,45.68,,,,,,,,,45.09,,,,,
41.57,45.95,,,,,,,,,45.2,,,,,
41.68,45.51,,,,,,,,,45.31,,,,,
41.76,45.04,,,,,,,,,45.39,,,,,
41.83,43.97,,,,,,,,,45.46,,,,,
41.91,44.15,,,,,,,,,45.54,,,,,
42.01,44.01,,,,,,,,,45.64,,,,,
42.12,43.9,,,,,,,,,45.75,,,,,
42.21,43.75,,,,,,,,,45.84,,,,,
42.26,43.42,,,,,,,,,45.89,,,,,
42.36,42.79,,,,,,,,,45.99,,,,,
42.46,43.06,,,,,,,,,46.09,,,,,
42.56,43.23,,,,,,,,,46.19,,,,,
42.64,42.97,,,,,,,,,46.27,,,,,
42.72,42.98,,,,,,,,,46.35,,,,,
42.81,42.6,,,,,,,,,46.44,,,,,
42.91,42.61,,,,,,,,,46.54,,,,,
43.01,42.88,,,,,,,,,46.64,,,,,
43.08,43.23,,,,,,,,,46.71,,,,,
43.16,43.56,,,,,,,,,46.79,,,,,
43.26,44.24,,,,,,,,,46.89,,,,,
43.37,44.61,,,,,,,,,47,,,,,
43.46,44.62,,,,,,,,,47.09,,,,,
43.52,44.76,,,,,,,,,47.15,,,,,
43.6,45.26,,,,,,,,,47.23,,,,,
43.72,45.05,,,,,,,,,47.35,,,,,
43.81,44.2,,,,,,,,,47.44,,,,,
43.88,43.31,,,,,,,,,47.51,,,,,
43.95,42.95,,,,,,,,,47.58,,,,,
44.06,42.27,,,,,,,,,47.69,,,,,
44.14,42.06,,,,,,,,,47.77,,,,,
44.2,42.66,,,,,,,,,47.83,,,,,
44.3,43,,,,,,,,,47.93,,,,,
44.41,43.34,,,,,,,,,48.04,,,,,
44.5,43.33,,,,,,,,,48.13,,,,,
44.56,43.46,,,,,,,,,48.19,,,,,
44.65,43.93,,,,,,,,,48.28,,,,,
44.76,43.49,,,,,,,,,48.39,,,,,
44.83,43.13,,,,,,,,,48.46,,,,,
44.9,43,,,,,,,,,48.53,,,,,
45,43.44,,,,,,,,,48.63,,,,,
45.11,43.75,,,,,,,,,48.74,,,,,
45.17,43.73,,,,,,,,,48.8,,,,,
45.24,43.85,,,,,,,,,48.87,,,,,
45.36,44.14,,,,,,,,,48.99,,,,,
45.44,44.19,,,,,,,,,49.07,,,,,
45.49,44.44,,,,,,,,,49.12,,,,,
45.6,44.68,,,,,,,,,49.23,,,,,
45.69,45.24,,,,,,,,,49.32,,,,,
45.73,45.22,,,,,,,,,49.36,,,,,
45.84,45.01,,,,,,,,,49.47,,,,,
45.92,45.07,,,,,,,,,49.55,,,,,
45.96,45.01,,,,,,,,,49.59,,,,,
46.08,44.96,,,,,,,,,49.71,,,,,
46.17,44.81,,,,,,,,,49.8,,,,,
46.21,44.79,,,,,,,,,49.84,,,,,
46.33,45.05,,,,,,,,,49.96,,,,,
46.42,44.81,,,,,,,,,50.05,,,,,
46.46,45.04,,,,,,,,,50.09,,,,,
46.57,45.05,,,,,,,,,50.2,,,,,
46.64,44.97,,,,,,,,,50.27,,,,,
46.7,44.46,,,,,,,,,50.33,,,,,
46.81,44.82,,,,,,,,,50.44,,,,,
46.87,44.37,,,,,,,,,50.5,,,,,
46.94,43.9,,,,,,,,,50.57,,,,,
47.05,43.74,,,,,,,,,50.68,,,,,
47.09,43.91,,,,,,,,,50.72,,,,,
47.19,43.93,,,,,,,,,50.82,,,,,
47.3,43.79,,,,,,,,,50.93,,,,,
47.33,43.73,,,,,,,,,50.96,,,,,
47.44,43.32,,,,,,,,,51.07,,,,,
47.51,43.2,,,,,,,,,51.14,,,,,
47.57,44.05,,,,,,,,,51.2,,,,,
47.69,44.18,,,,,,,,,51.32,,,,,
47.72,44.3,,,,,,,,,51.35,,,,,
47.82,44.72,,,,,,,,,51.45,,,,,
47.93,44.53,,,,,,,,,51.56,,,,,
47.95,44.46,,,,,,,,,51.58,,,,,
48.06,44.68,,,,,,,,,51.69,,,,,
48.11,44.39,,,,,,,,,51.74,,,,,
48.2,44.73,,,,,,,,,51.83,,,,,
48.31,44.83,,,,,,,,,51.94,,,,,
48.33,45.1,,,,,,,,,51.96,,,,,
48.45,45.46,,,,,,,,,52.08,,,,,
48.5,45.71,,,,,,,,,52.13,,,,,
48.58,45.2,,,,,,,,,52.21,,,,,
48.67,45.14,,,,,,,,,52.3,,,,,
48.71,45.27,,,,,,,,,52.34,,,,,
48.82,45.55,,,,,,,,,52.45,,,,,
48.85,45.5,,,,,,,,,52.48,,,,,
48.97,45.16,,,,,,,,,52.6,,,,,
49.02,45,,,,,,,,,52.65,,,,,
49.1,44.85,,,,,,,,,52.73,,,,,
49.2,45.05,,,,,,,,,52.83,,,,,
49.23,45.67,,,,,,,,,52.86,,,,,
49.35,46.29,,,,,,,,,52.98,,,,,
49.37,46.71,,,,,,,,,53,,,,,
49.49,46.62,,,,,,,,,53.12,,,,,
49.53,45.7,,,,,,,,,53.16,,,,,
49.62,44.95,,,,,,,,,53.25,,,,,
49.7,44.51,,,,,,,,,53.33,,,,,
49.76,44.4,,,,,,,,,53.39,,,,,
49.84,44.2,,,,,,,,,53.47,,,,,
49.89,43.8,,,,,,,,,53.52,,,,,
50,43.69,,,,,,,,,53.63,,,,,
50.02,43.75,,,,,,,,,53.65,,,,,
50.13,43.58,,,,,,,,,53.76,,,,,
50.16,43.97,,,,,,,,,53.79,,,,,
50.29,44.15,,,,,,,,,53.92,,,,,
50.31,44.37,,,,,,,,,53.94,,,,,
50.42,44.66,,,,,,,,,54.05,,,,,
50.48,44.81,,,,,,,,,54.11,,,,,
50.55,44.74,,,,,,,,,54.18,,,,,
50.64,44.88,,,,,,,,,54.27,,,,,
50.69,44.97,,,,,,,,,54.32,,,,,
50.78,45.07,,,,,,,,,54.41,,,,,
50.83,45.83,,,,,,,,,54.46,,,,,
50.94,46.28,,,,,,,,,54.57,,,,,
50.97,46.58,,,,,,,,,54.6,,,,,
51.09,45.75,,,,,,,,,54.72,,,,,
51.11,45.1,,,,,,,,,54.74,,,,,
51.21,45.52,,,,,,,,,54.84,,,,,
51.26,45.6,,,,,,,,,54.89,,,,,
51.36,46.19,,,,,,,,,54.99,,,,,
51.39,46.2,,,,,,,,,55.02,,,,,
51.51,45.99,,,,,,,,,55.14,,,,,
51.56,45.53,,,,,,,,,55.19,,,,,
51.64,45.71,,,,,,,,,55.27,,,,,
51.68,45.86,,,,,,,,,55.31,,,,,
51.78,45.94,,,,,,,,,55.41,,,,,
51.83,45.82,,,,,,,,,55.46,,,,,
51.93,45.89,,,,,,,,,55.56,,,,,
51.94,45.74,,,,,,,,,55.57,,,,,
52.06,44.95,,,,,,,,,55.69,,,,,
52.08,44.98,,,,,,,,,55.71,,,,,
52.2,44.98,,,,,,,,,55.83,,,,,
52.23,44.8,,,,,,,,,55.86,,,,,
52.34,45.38,,,,,,,,,55.97,,,,,
52.38,46.12,,,,,,,,,56.01,,,,,
52.49,46.38,,,,,,,,,56.12,,,,,
52.51,46,,,,,,,,,56.14,,,,,
52.62,45.83,,,,,,,,,56.25,,,,,
52.64,45.73,,,,,,,,,56.27,,,,,
52.77,45.84,,,,,,,,,56.4,,,,,
52.78,46.34,,,,,,,,,56.41,,,,,
52.91,46.22,,,,,,,,,56.54,,,,,
52.92,45.76,,,,,,,,,56.55,,,,,
53.05,46.41,,,,,,,,,56.68,,,,,
53.06,46.7,,,,,,,,,56.69,,,,,
53.18,46.26,,,,,,,,,56.81,,,,,
53.2,46.08,,,,,,,,,56.83,,,,,
53.31,46.21,,,,,,,,,56.94,,,,,
53.34,47.19,,,,,,,,,56.97,,,,,
53.42,47.51,,,,,,,,,57.05,,,,,
53.49,47.49,,,,,,,,,57.12,,,,,
53.57,47.54,,,,,,,,,57.2,,,,,
53.63,47.53,,,,,,,,,57.26,,,,,
53.66,47.78,,,,,,,,,57.29,,,,,
53.78,47.82,,,,,,,,,57.41,,,,,
53.79,47.16,,,,,,,,,57.42,,,,,
53.92,47.13,,,,,,,,,57.55,,,,,
53.95,46.99,,,,,,,,,57.58,,,,,
54.05,47.33,,,,,,,,,57.68,,,,,
54.08,47.45,,,,,,,,,57.71,,,,,
54.15,47.06,,,,,,,,,57.78,,,,,
54.22,47.04,,,,,,,,,57.85,,,,,
54.24,47.35,,,,,,,,,57.87,,,,,
54.36,47.61,,,,,,,,,57.99,,,,,
54.37,47.72,,,,,,,,,58,,,,,
54.46,47.62,,,,,,,,,58.09,,,,,
54.52,47.81,,,,,,,,,58.15,,,,,
54.59,47.96,,,,,,,,,58.22,,,,,
54.66,48.14,,,,,,,,,58.29,,,,,
54.69,47.62,,,,,,,,,58.32,,,,,
54.81,47.6,,,,,,,,,58.44,,,,,
54.82,47.18,,,,,,,,,58.45,,,,,
54.94,46.92,,,,,,,,,58.57,,,,,
54.97,46.41,,,,,,,,,58.6,,,,,
55.04,46.88,,,,,,,,,58.67,,,,,
55.12,47.29,,,,,,,,,58.75,,,,,
55.13,47.32,,,,,,,,,58.76,,,,,
55.25,47.46,,,,,,,,,58.88,,,,,
55.27,46.98,,,,,,,,,58.9,,,,,
55.36,47.05,,,,,,,,,58.99,,,,,
55.42,46.88,,,,,,,,,59.05,,,,,
55.43,46.64,,,,,,,,,59.06,,,,,
55.56,46.93,,,,,,,,,59.19,,,,,
55.57,47.62,,,,,,,,,59.2,,,,,
55.64,47.35,,,,,,,,,59.27,,,,,
55.73,46.99,,,,,,,,,59.36,,,,,
55.73,46.58,,,,,,,,,59.36,,,,,
55.86,46.83,,,,,,,,,59.49,,,,,
55.88,46.78,,,,,,,,,59.51,,,,,
55.93,46.42,,,,,,,,,59.56,,,,,
56.02,47.05,,,,,,,,,59.65,,,,,
56.04,47.41,,,,,,,,,59.67,,,,,
56.14,47.59,,,,,,,,,59.77,,,,,
56.19,47.74,,,,,,,,,59.82,,,,,
56.21,46.85,,,,,,,,,59.84,,,,,
56.34,46.14,,,,,,,,,59.97,,,,,
56.34,45.62,,,,,,,,,59.97,,,,,
56.39,46.38,,,,,,,,,60.02,,,,,
56.5,47.03,,,,,,,,,60.13,,,,,
56.51,47.54,,,,,,,,,60.14,,,,,
56.62,47.5,,,,,,,,,60.25,,,,,
56.66,47.59,,,,,,,,,60.29,,,,,
56.67,47.47,,,,,,,,,60.3,,,,,
56.8,47.52,,,,,,,,,60.43,,,,,
56.82,47.13,,,,,,,,,60.45,,,,,
56.84,47.49,,,,,,,,,60.47,,,,,
56.95,47.37,,,,,,,,,60.58,,,,,
56.97,47.05,,,,,,,,,60.6,,,,,
57.01,46.82,,,,,,,,,60.64,,,,,
57.12,46.61,,,,,,,,,60.75,,,,,
57.13,46.55,,,,,,,,,60.76,,,,,
57.18,46.35,,,,,,,,,60.81,,,,,
57.29,46.47,,,,,,,,,60.92,,,,,
57.29,46.45,,,,,,,,,60.92,,,,,
57.34,46.72,,,,,,,,,60.97,,,,,
57.45,47.21,,,,,,,,,61.08,,,,,
57.45,47.95,,,,,,,,,61.08,,,,,
57.52,48.46,,,,,,,,,61.15,,,,,
57.61,48.47,,,,,,,,,61.24,,,,,
57.61,48.29,,,,,,,,,61.24,,,,,
57.68,48.29,,,,,,,,,61.31,,,,,
57.77,48.24,,,,,,,,,61.4,,,,,
