1st,,,2nd,,,3rd,,
22.26,2.61,22.61,22.34,1.2,21.2,24.96,3.95,23.95
22.27,2.62,22.62,22.41,1.27,21.27,25.02,4.01,24.01
22.29,2.64,22.64,22.43,1.29,21.29,25.04,4.03,24.03
22.36,2.71,22.71,22.51,1.37,21.37,25.04,4.03,24.03
22.43,2.78,22.78,22.53,1.39,21.39,25.05,4.04,24.04
22.51,2.86,22.86,22.54,1.4,21.4,25.12,4.11,24.11
22.51,2.86,22.86,22.56,1.42,21.42,25.13,4.12,24.12
22.52,2.87,22.87,22.6,1.46,21.46,25.14,4.13,24.13
22.55,2.9,22.9,22.6,1.46,21.46,25.16,4.15,24.15
22.6,2.95,22.95,22.6,1.46,21.46,25.22,4.21,24.21
22.61,2.96,22.96,22.59,1.45,21.45,25.22,4.21,24.21
22.68,3.03,23.03,22.6,1.46,21.46,25.26,4.25,24.25
22.74,3.09,23.09,22.53,1.39,21.39,25.31,4.3,24.3
22.77,3.12,23.12,22.51,1.37,21.37,25.31,4.3,24.3
22.77,3.12,23.12,22.51,1.37,21.37,25.36,4.35,24.35
22.77,3.12,23.12,22.51,1.37,21.37,25.39,4.38,24.38
22.77,3.12,23.12,22.51,1.37,21.37,25.4,4.39,24.39
22.77,3.12,23.12,22.51,1.37,21.37,25.44,4.43,24.43
22.78,3.13,23.13,22.51,1.37,21.37,25.48,4.47,24.47
22.86,3.21,23.21,22.51,1.37,21.37,25.5,4.49,24.49
22.86,3.21,23.21,22.51,1.37,21.37,25.48,4.47,24.47
22.86,3.21,23.21,22.5,1.36,21.36,25.48,4.47,24.47
22.86,3.21,23.21,22.47,1.33,21.33,25.52,4.51,24.51
22.86,3.21,23.21,22.44,1.3,21.3,25.57,4.56,24.56
22.86,3.21,23.21,22.51,1.37,21.37,25.62,4.61,24.61
22.86,3.21,23.21,22.51,1.37,21.37,25.67,4.66,24.66
22.86,3.21,23.21,22.52,1.38,21.38,25.74,4.73,24.73
