Colourimetric 1,,Colourimetric 2,,Colourimetric 3,
Temp,PWM,Temp,PWM,Temp,PWM
66.32,3.53,,,,
67.12,0,,,,
66.51,16.25,,,,
66.17,16.1,,,,
66.77,0,,,,
66.92,0,,,,
66.98,0,,,,
67.07,0,,,,
67.12,0,,,,
67.18,0,,,,
67.23,0,,,,
67.32,0,,,,
67.36,0,,,,
67.42,0,,,,
67.46,0,,,,
67.49,0,,,,
67.54,0,,,,
67.58,0,,,,
67.57,0,,,,
67.58,0,,,,
67.6,0,,,,
67.59,0,,,,
67.59,0,,,,
67.59,0,,,,
67.57,0,,,,
67.56,0,,,,
67.55,0,,,,
67.52,0,,,,
67.48,0,,,,
67.46,0,,,,
67.41,0,,,,
67.38,0,,,,
67.34,0,,,,
67.28,0,,,,
67.24,0,,,,
67.19,0,,,,
67.15,0,,,,
67.08,0,,,,
67,0,,,,
66.97,0,,,,
66.97,0,,,,
66.92,0,,,,
66.84,0,,,,
66.77,0,,,,
66.7,0,,,,
66.61,0,,,,
66.55,0,,,,
66.47,0,,,,
66.35,0,,,,
66.3,0,,,,
66.23,0,,,,
66.14,0,,,,
66.06,0,,,,
65.94,0,,,,
65.88,0,,,,
65.78,0,,,,
65.71,0,,,,
65.62,0,,,,
65.51,0,,,,
65.41,0,,,,
65.32,0,,,,
65.26,0,,,,
65.15,0,,,,
65.06,0.95,,,,
64.96,3.24,,,,
64.9,3.84,,,,
64.77,8.13,,,,
64.68,9.11,,,,
64.57,12.01,,,,
63.84,42.61,,,,
64.37,0.91,,,,
64.27,18.7,,,,
64.16,21.67,,,,
64.08,23.42,,,,
63.37,53.65,,,,
63.89,13.3,,,,
63.78,31.88,,,,
62.98,65.87,,,,
63.58,20.05,,,,
63.54,37.3,,,,
62.77,72.16,,,,
63.36,27.21,,,,
63.36,42.58,,,,
62.58,78.9,,,,
63.18,33.49,,,,
63.19,48.98,,,,
62.44,84.31,,,,
63.06,38.36,,,,
63.1,53.07,,,,
62.37,88.36,,,,
63.01,41.99,,,,
63.06,56.91,,,,
62.35,91.54,,,,
63.03,44.13,,,,
63.12,58,,,,
62.42,92.85,,,,
63.16,43.21,,,,
63.21,60.15,,,,
62.54,93.09,,,,
63.3,42.76,,,,
63.4,58.36,,,,
62.76,90.56,,,,
63.52,41.01,,,,
63.65,54.94,,,,
63.76,53.98,,,,
63.86,52.57,,,,
63.4,76.88,,,,
63.79,48.04,,,,
64.18,41.03,,,,
64.31,44.89,,,,
64.43,43.14,,,,
64.09,61.98,,,,
64.52,34.27,,,,
64.84,31,,,,
64.95,33.9,,,,
64.33,64.89,,,,
65.22,9.25,,,,
65.33,26.3,,,,
65.48,22,,,,
65.61,19.52,,,,
65.09,46.21,,,,
65.9,0,,,,
66.01,11.33,,,,
66.14,7.33,,,,
66.27,4.16,,,,
65.44,44.87,,,,
66.52,0,,,,
66.58,0,,,,
66.75,0,,,,
66.82,0,,,,
66.95,0,,,,
67,0,,,,
67.02,0,,,,
67.12,0,,,,
67.19,0,,,,
67.26,0,,,,
67.34,0,,,,
67.39,0,,,,
67.4,0,,,,
67.44,0,,,,
67.49,0,,,,
67.53,0,,,,
67.53,0,,,,
67.56,0,,,,
67.57,0,,,,
67.57,0,,,,
67.57,0,,,,
67.57,0,,,,
67.58,0,,,,
67.55,0,,,,
67.53,0,,,,
67.51,0,,,,
67.48,0,,,,
